"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGD6",5.80476705398101e-18,3.47363084015436,0.672,0.169,1.07109561680058e-13
"AL356737.1",8.5069360775148e-27,3.45330100465982,0.379,0.009,1.56969984502303e-22
"NAT8L",4.41015464277443e-15,3.45276326682567,0.414,0.062,8.13761734684739e-11
"AHCYL1",1.35807167928351e-26,3.44527575200798,1,0.589,2.50591386261393e-22
"GTF2IP20",3.84575409202013e-07,3.4404764981297,0.431,0.151,0.00709618545059555
"AC087564.1",5.68835686593079e-08,3.43778469711768,0.362,0.104,0.00104961560890155
"TPCN1",5.29506229009167e-29,3.4325423411171,0.81,0.16,9.77044893767714e-25
"EFHB",1.4112907986383e-09,3.43109454218227,0.328,0.068,2.60411378164738e-05
"NEK6",7.92370054639893e-09,3.42801480327026,0.397,0.118,0.000146208122482153
"ITPKB",3.844850421741e-29,3.42604580284733,0.879,0.213,7.09451799819649e-25
"TTPA",5.39111299679435e-33,3.42329805705026,0.672,0.065,9.94768170168494e-29
"CTSH",2.68563312022253e-27,3.41849977998469,0.793,0.163,4.95553023343461e-23
"DDIT4",7.58484363017271e-08,3.41239856937905,0.5,0.186,0.00139955534663947
"EHHADH",6.31590491423955e-13,3.4113800217738,0.276,0.027,1.16541077477548e-08
"MYORG",6.44018318712884e-20,3.40558611680074,0.655,0.139,1.18834260168901e-15
"AC005162.3",5.81995977698778e-13,3.40322614962028,0.345,0.05,1.07389897804978e-08
"STK33",2.84985382276979e-20,3.40306072868649,0.638,0.124,5.25855027377482e-16
"LGI4",2.61251028753443e-36,3.39868050643412,0.81,0.109,4.82060398255852e-32
"SLC38A3",1.15411245649181e-16,3.39402327347314,0.448,0.065,2.12956830471869e-12
"GLUL",5.56413305040408e-28,3.3806155841784,1,0.722,1.02669383046056e-23
"FAS",3.66248614454149e-25,3.37951519684753,0.655,0.115,6.75801943390796e-21
"GABRG1",4.30988198375295e-34,3.3739684018489,0.914,0.186,7.95259423642095e-30
"RAPGEF3",1.85961226430112e-31,3.36857864967131,0.793,0.124,3.43135655008843e-27
"FAM107A",4.17410295814903e-30,3.36230023935718,0.983,0.352,7.7020547783766e-26
"HRH1",6.33328635301725e-09,3.35990353324594,0.362,0.092,0.000116861799785874
"RHOJ",4.30322046277843e-33,3.35920372994104,0.81,0.121,7.94030239791877e-29
