"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
"234","7.44006801716109e-26","2.84396244386371","0.685","0.148","4.582114689729e-21","PAX6"
"235","8.51425613147283e-26","2.59977035283837","0.986","0.45","5.24367492369017e-21","HTRA1"
"236","9.03584325739891e-26","3.54976626347008","0.301","0.005","5.56490478693427e-21","RNU6-419P"
"237","9.3493284055009e-26","2.39536786116368","0.836","0.254","5.75797088509584e-21","NOTCH2"
"238","9.65100291047687e-26","2.6931631767109","0.973","0.435","5.94376316247539e-21","LGI1"
"239","1.15715532034124e-25","2.65435355925051","0.589","0.089","7.12657247138562e-21","S100A16"
"240","1.16601735118673e-25","1.73963804932458","0.452","0.043","7.1811510607537e-21","SLC25A43"
"241","1.23435056749798e-25","2.65307766599491","0.781","0.196","7.60199484004983e-21","ELOVL2"
"242","1.24943699911579e-25","2.81210265704732","0.781","0.204","7.69490764645442e-21","PFKFB3"
"243","1.257625593032e-25","3.29878200126858","0.397","0.028","7.74533873980616e-21","NULL"
"244","1.66832046245514e-25","4.23965919470555","0.521","0.069","1.02746852321224e-20","AC108215.1"
"245","2.16009833131483e-25","2.69963916958972","0.973","0.812","1.33033975930687e-20","SAT1"
"246","2.22281440438448e-25","2.99416660738708","0.904","0.341","1.36896470722827e-20","CAT"
"247","2.63984300375963e-25","5.18334031499377","0.411","0.033","1.62580011072544e-20","AL590617.2"
"248","2.81428752217649e-25","1.76032582043526","0.425","0.036","1.73323525628284e-20","C16orf89"
"249","2.82867106326563e-25","2.05634943221431","1","0.636","1.7420936477334e-20","NEAT1"
"250","2.94929649779778e-25","3.52921996378801","0.548","0.076","1.81638323409872e-20","PIPOX"
"251","3.16071668996438e-25","3.59195057448759","0.425","0.036","1.94659058784836e-20","NTSR2"
"252","3.18546811916479e-25","3.506259370544","0.589","0.097","1.96183425055002e-20","PHKA1"
"253","3.5325244431919e-25","4.22648008225542","0.658","0.14","2.1755758288286e-20","GLIS3"
"254","3.78164467275742e-25","4.38676161486803","0.658","0.14","2.32900150461111e-20","LAMA1"
"255","4.28395590332161e-25","3.37879084999343","0.658","0.13","2.63835992217868e-20","MYORG"
"256","4.90074593106936e-25","2.08246789219271","0.986","0.903","3.01822239656769e-20","FAM171B"
"257","5.17439691805319e-25","5.01664297255473","0.425","0.038","3.18675582992142e-20","ITGB4"
"258","5.86027842497031e-25","2.43850972911403","0.836","0.265","3.60916967358646e-20","NBPF14"
"259","6.0099827815201e-25","2.49763689375533","0.863","0.285","3.70136809565478e-20","FAT1"
"260","6.14419730545188e-25","1.27701648276045","1","0.639","3.78402679450865e-20","PTN"
"261","6.14669982779617e-25","2.57264369983612","0.438","0.041","3.78556802294483e-20","AC027307.1"
