"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","genes"
4.15926107858781e-39,3.70620213100707,0.669,0.098,2.56156412046987e-34,"RASGRF1"
4.44549519439853e-39,3.53259040312645,0.738,0.157,2.73784712537423e-34,"NEK10"
4.99118818371485e-39,3.17989531307113,0.7,0.124,3.07392306670446e-34,"TCEAL6"
5.08951921985965e-39,2.32877923290377,0.95,0.422,3.13448220193496e-34,"OLFM1"
7.1471116519801e-39,2.19636039106901,0.994,0.699,4.40169165310498e-34,"AHI1"
1.27934651379444e-38,1.81631993383041,0.95,0.386,7.87911137450583e-34,"SV2A"
1.78969809603157e-38,2.24870306713221,0.875,0.301,1.10222136640296e-33,"NULL"
3.1236447848997e-38,2.10707848293635,0.875,0.261,1.92375911367618e-33,"CAMK2B"
3.73382005663193e-38,2.05724244587176,0.881,0.258,2.2995477582779e-33,"TCEAL5"
4.1162290600937e-38,2.58692448716328,0.875,0.317,2.53506199123991e-33,"SCN1A"
4.49806693691037e-38,3.80070801251428,0.644,0.088,2.77022448443499e-33,"RPH3A"
5.2354282676881e-38,3.43731668782607,0.575,0.046,3.22434320722107e-33,"AC139491.7"
5.9941750341058e-38,2.29495241569677,0.919,0.373,3.69163257825474e-33,"TSPYL2"
6.12932063910069e-38,2.12663837164929,0.844,0.255,3.77486470200294e-33,"KCNJ3"
7.41096009963334e-38,3.30568314343598,0.806,0.248,4.56418799656119e-33,"CACNA1D"
1.00670902566669e-37,3.11427240749042,0.756,0.183,6.20001887637344e-33,"CREG2"
1.18886333287228e-37,2.37344036088945,0.95,0.487,7.32185260816051e-33,"SLC22A17"
1.24047562673861e-37,2.58799545735807,0.831,0.261,7.63971724239508e-33,"STEAP2"
1.49813437293136e-37,2.28308922405296,0.887,0.324,9.22656016257235e-33,"NAPB"
1.75434573141693e-37,2.37155989181005,0.9,0.363,1.08044890560775e-32,"GOT1"
1.85842681469368e-37,2.8751535289825,0.819,0.271,1.14454932236539e-32,"CHRM3"
1.89414288529127e-37,2.85140741373373,0.825,0.252,1.16654577876434e-32,"CNTNAP2"
2.53155973680886e-37,2.4672206363904,0.925,0.503,1.55911169510847e-32,"ATP5IF1"
2.60097693008608e-37,2.17113098704097,0.975,0.539,1.60186366193212e-32,"BEX2"
2.86262728557579e-37,3.30633707898828,0.769,0.193,1.76300626636756e-32,"INPP4B"
2.92941053607592e-37,2.21580308639326,0.812,0.219,1.80413606685308e-32,"FABP3"
5.64502058369295e-37,2.38190161644657,0.9,0.359,3.47659882687898e-32,"GUCY1B1"
5.70330002693697e-37,2.20173411156901,0.894,0.317,3.51249138758967e-32,"SPOCK2"
9.00899660917442e-37,3.3360559806008,0.719,0.147,5.54837074169225e-32,"KCNC1"
1.38959042263185e-36,3.33275607898221,0.706,0.15,8.55807053586277e-32,"SLC7A14"
